time,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
0,0.001,0,0,0,0,0,0,0,0,0,0,-906
0.01,0.001,0,0.0981,0,0,0,0,0,0,1e-05,0,-906
0.02,0.000999998,0,0.1962,0,0,0,0,0,0,2e-05,0,-905.999
0.03,0.000999995,0,0.294299,0,0,0,0,0,0,3e-05,0,-905.997
0.04,0.000999991,0,0.392398,0,0,0,0,0,0,3.99999e-05,0,-905.994
0.05,0.000999984,0,0.490495,0,0,0,0,0,0,4.99998e-05,0,-905.99
0.06,0.000999977,0,0.588592,0,0,0,0,0,0,5.99997e-05,0,-905.985
0.07,0.000999967,0,0.686686,0,0,0,0,0,0,6.99995e-05,0,-905.979
0.08,0.000999956,0,0.784779,0,0,0,0,0,0,7.99991e-05,0,-905.973
0.09,0.000999944,0,0.882869,0,0,0,0,0,0,8.99987e-05,0,-905.965
0.1,0.00099993,0,0.980957,0,0,0,0,0,0,9.99981e-05,0,-905.956
0.11,0.000999915,0,1.07904,0,0,0,0,0,0,0.000109997,0,-905.946
0.12,0.000999897,0,1.17712,0,0,0,0,0,0,0.000119997,0,-905.935
0.13,0.000999879,0,1.2752,0,0,0,0,0,0,0.000129996,0,-905.923
0.14,0.000999859,0,1.37328,0,0,0,0,0,0,0.000139994,0,-905.911
0.15,0.000999837,0,1.47135,0,0,0,0,0,0,0.000149993,0,-905.897
0.16,0.000999814,0,1.56941,0,0,0,0,0,0,0.000159991,0,-905.882
0.17,0.000999789,0,1.66747,0,0,0,0,0,0,0.000169989,0,-905.867
0.18,0.000999762,0,1.76553,0,0,0,0,0,0,0.000179987,0,-905.85
0.19,0.000999734,0,1.86358,0,0,0,0,0,0,0.000189985,0,-905.832
0.2,0.000999705,0,1.96162,0,0,0,0,0,0,0.000199982,0,-905.814
0.21,0.000999674,0,2.05966,0,0,0,0,0,0,0.000209979,0,-905.794
0.22,0.000999641,0,2.1577,0,0,0,0,0,0,0.000219976,0,-905.773
0.23,0.000999607,0,2.25572,0,0,0,0,0,0,0.000229972,0,-905.752
0.24,0.000999571,0,2.35374,0,0,0,0,0,0,0.000239969,0,-905.729
0.25,0.000999534,0,2.45175,0,0,0,0,0,0,0.000249964,0,-905.706
0.26,0.000999495,0,2.54976,0,0,0,0,0,0,0.00025996,0,-905.681
0.27,0.000999455,0,2.64776,0,0,0,0,0,0,0.000269955,0,-905.656
0.28,0.000999413,0,2.74574,0,0,0,0,0,0,0.000279949,0,-905.629
0.29,0.00099937,0,2.84372,0,0,0,0,0,0,0.000289943,0,-905.602
0.3,0.000999325,0,2.9417,0,0,0,0,0,0,0.000299937,0,-905.573
0.31,0.000999278,0,3.03966,0,0,0,0,0,0,0.00030993,0,-905.544
0.32,0.00099923,0,3.13761,0,0,0,0,0,0,0.000319923,0,-905.514
0.33,0.00099918,0,3.23556,0,0,0,0,0,0,0.000329915,0,-905.482
0.34,0.000999129,0,3.33349,0,0,0,0,0,0,0.000339907,0,-905.45
0.35,0.000999076,0,3.43142,0,0,0,0,0,0,0.000349898,0,-905.416
0.36,0.000999022,0,3.52933,0,0,0,0,0,0,0.000359889,0,-905.382
0.37,0.000998966,0,3.62723,0,0,0,0,0,0,0.000369879,0,-905.347
0.38,0.000998909,0,3.72512,0,0,0,0,0,0,0.000379869,0,-905.311
0.39,0.00099885,0,3.823,0,0,0,0,0,0,0.000389858,0,-905.273
0.4,0.000998789,0,3.92087,0,0,0,0,0,0,0.000399847,0,-905.235
0.41,0.000998727,0,4.01873,0,0,0,0,0,0,0.000409834,0,-905.196
0.42,0.000998664,0,4.11657,0,0,0,0,0,0,0.000419822,0,-905.156
0.43,0.000998599,0,4.2144,0,0,0,0,0,0,0.000429808,0,-905.115
0.44,0.000998532,0,4.31222,0,0,0,0,0,0,0.000439794,0,-905.072
0.45,0.000998464,0,4.41003,0,0,0,0,0,0,0.00044978,0,-905.029
0.46,0.000998394,0,4.50782,0,0,0,0,0,0,0.000459764,0,-904.985
0.47,0.000998323,0,4.6056,0,0,0,0,0,0,0.000469748,0,-904.94
0.48,0.00099825,0,4.70336,0,0,0,0,0,0,0.000479732,0,-904.894
0.49,0.000998176,0,4.80111,0,0,0,0,0,0,0.000489714,0,-904.847
0.5,0.0009981,0,4.89885,0,0,0,0,0,0,0.000499696,0,-904.799
0.51,0.000998022,0,4.99657,0,0,0,0,0,0,0.000509677,0,-904.75
0.52,0.000997943,0,5.09427,0,0,0,0,0,0,0.000519657,0,-904.7
0.53,0.000997863,0,5.19196,0,0,0,0,0,0,0.000529636,0,-904.649
0.54,0.000997781,0,5.28963,0,0,0,0,0,0,0.000539615,0,-904.597
0.55,0.000997697,0,5.38729,0,0,0,0,0,0,0.000549593,0,-904.544
0.56,0.000997612,0,5.48493,0,0,0,0,0,0,0.00055957,0,-904.49
0.57,0.000997525,0,5.58256,0,0,0,0,0,0,0.000569546,0,-904.436
0.58,0.000997437,0,5.68016,0,0,0,0,0,0,0.000579521,0,-904.38
0.59,0.000997348,0,5.77775,0,0,0,0,0,0,0.000589496,0,-904.323
0.6,0.000997256,0,5.87532,0,0,0,0,0,0,0.000599469,0,-904.265
0.61,0.000997163,0,5.97288,0,0,0,0,0,0,0.000609442,0,-904.206
0.62,0.000997069,0,6.07041,0,0,0,0,0,0,0.000619413,0,-904.147
0.63,0.000996973,0,6.16793,0,0,0,0,0,0,0.000629384,0,-904.086
0.64,0.000996876,0,6.26542,0,0,0,0,0,0,0.000639354,0,-904.024
0.65,0.000996777,0,6.3629,0,0,0,0,0,0,0.000649322,0,-903.962
0.66,0.000996677,0,6.46036,0,0,0,0,0,0,0.00065929,0,-903.898
0.67,0.000996575,0,6.5578,0,0,0,0,0,0,0.000669257,0,-903.833
0.68,0.000996471,0,6.65522,0,0,0,0,0,0,0.000679223,0,-903.768
0.69,0.000996366,0,6.75262,0,0,0,0,0,0,0.000689187,0,-903.701
0.7,0.00099626,0,6.85,0,0,0,0,0,0,0.000699151,0,-903.634
0.71,0.000996151,0,6.94735,0,0,0,0,0,0,0.000709114,0,-903.565
0.72,0.000996042,0,7.04469,0,0,0,0,0,0,0.000719075,0,-903.496
0.73,0.000995931,0,7.142,0,0,0,0,0,0,0.000729036,0,-903.425
0.74,0.000995818,0,7.23929,0,0,0,0,0,0,0.000738995,0,-903.354
0.75,0.000995704,0,7.33656,0,0,0,0,0,0,0.000748953,0,-903.282
0.76,0.000995588,0,7.43381,0,0,0,0,0,0,0.00075891,0,-903.208
0.77,0.000995471,0,7.53104,0,0,0,0,0,0,0.000768866,0,-903.134
0.78,0.000995352,0,7.62824,0,0,0,0,0,0,0.000778821,0,-903.059
0.79,0.000995232,0,7.72542,0,0,0,0,0,0,0.000788774,0,-902.982
0.8,0.00099511,0,7.82257,0,0,0,0,0,0,0.000798727,0,-902.905
0.81,0.000994987,0,7.9197,0,0,0,0,0,0,0.000808678,0,-902.827
0.82,0.000994862,0,8.01681,0,0,0,0,0,0,0.000818628,0,-902.748
0.83,0.000994736,0,8.11389,0,0,0,0,0,0,0.000828576,0,-902.667
0.84,0.000994608,0,8.21095,0,0,0,0,0,0,0.000838524,0,-902.586
0.85,0.000994479,0,8.30798,0,0,0,0,0,0,0.00084847,0,-902.504
0.86,0.000994348,0,8.40499,0,0,0,0,0,0,0.000858414,0,-902.421
0.87,0.000994216,0,8.50197,0,0,0,0,0,0,0.000868358,0,-902.337
0.88,0.000994082,0,8.59893,0,0,0,0,0,0,0.0008783,0,-902.252
0.89,0.000993946,0,8.69585,0,0,0,0,0,0,0.000888241,0,-902.166
0.9,0.000993809,0,8.79276,0,0,0,0,0,0,0.00089818,0,-902.079
0.91,0.000993671,0,8.88963,0,0,0,0,0,0,0.000908118,0,-901.991
0.92,0.000993531,0,8.98648,0,0,0,0,0,0,0.000918055,0,-901.902
0.93,0.00099339,0,9.0833,0,0,0,0,0,0,0.00092799,0,-901.812
0.94,0.000993247,0,9.1801,0,0,0,0,0,0,0.000937924,0,-901.722
0.95,0.000993102,0,9.27686,0,0,0,0,0,0,0.000947857,0,-901.63
0.96,0.000992957,0,9.3736,0,0,0,0,0,0,0.000957788,0,-901.537
0.97,0.000992809,0,9.47031,0,0,0,0,0,0,0.000967717,0,-901.443
0.98,0.00099266,0,9.56699,0,0,0,0,0,0,0.000977645,0,-901.349
0.99,0.00099251,0,9.66364,0,0,0,0,0,0,0.000987572,0,-901.253
1,0.000992358,0,9.76026,0,0,0,0,0,0,0.000997497,0,-901.156
1.01,0.000992205,0,9.85685,0,0,0,0,0,0,0.00100742,0,-901.059
1.02,0.00099205,0,9.95341,0,0,0,0,0,0,0.00101734,0,-900.96
1.03,0.000991893,0,10.0499,0,0,0,0,0,0,0.00102726,0,-900.86
1.04,0.000991735,0,10.1464,0,0,0,0,0,0,0.00103718,0,-900.76
1.05,0.000991576,0,10.2429,0,0,0,0,0,0,0.0010471,0,-900.659
1.06,0.000991415,0,10.3393,0,0,0,0,0,0,0.00105702,0,-900.556
1.07,0.000991253,0,10.4358,0,0,0,0,0,0,0.00106693,0,-900.453
1.08,0.000991089,0,10.5321,0,0,0,0,0,0,0.00107684,0,-900.348
1.09,0.000990924,0,10.6285,0,0,0,0,0,0,0.00108675,0,-900.243
1.1,0.000990757,0,10.7248,0,0,0,0,0,0,0.00109666,0,-900.137
1.11,0.000990589,0,10.8211,0,0,0,0,0,0,0.00110657,0,-900.029
1.12,0.000990419,0,10.9173,0,0,0,0,0,0,0.00111648,0,-899.921
1.13,0.000990248,0,11.0135,0,0,0,0,0,0,0.00112638,0,-899.812
1.14,0.000990075,0,11.1097,0,0,0,0,0,0,0.00113628,0,-899.702
1.15,0.000989901,0,11.2058,0,0,0,0,0,0,0.00114618,0,-899.591
1.16,0.000989725,0,11.302,0,0,0,0,0,0,0.00115608,0,-899.479
1.17,0.000989548,0,11.398,0,0,0,0,0,0,0.00116598,0,-899.366
1.18,0.000989369,0,11.4941,0,0,0,0,0,0,0.00117587,0,-899.252
1.19,0.000989189,0,11.5901,0,0,0,0,0,0,0.00118577,0,-899.137
1.2,0.000989008,0,11.6861,0,0,0,0,0,0,0.00119566,0,-899.021
1.21,0.000988825,0,11.782,0,0,0,0,0,0,0.00120555,0,-898.904
1.22,0.00098864,0,11.8779,0,0,0,0,0,0,0.00121544,0,-898.786
1.23,0.000988454,0,11.9738,0,0,0,0,0,0,0.00122533,0,-898.668
1.24,0.000988267,0,12.0696,0,0,0,0,0,0,0.00123521,0,-898.548
1.25,0.000988078,0,12.1654,0,0,0,0,0,0,0.00124509,0,-898.427
1.26,0.000987887,0,12.2611,0,0,0,0,0,0,0.00125497,0,-898.305
1.27,0.000987696,0,12.3569,0,0,0,0,0,0,0.00126485,0,-898.183
1.28,0.000987502,0,12.4525,0,0,0,0,0,0,0.00127473,0,-898.059
